Lieu_ID,Lieu,Lieu_Proche_ID,Lieu_Proche,Distance
ChIJvRvDBgBy5kcROcEm9mAeLUE,Bistrot de l’Oulette,ChIJzX94Mqpv5kcR789tzbYvWzc,Bistrot Instinct,1.3489
ChIJWZcnQqhz5kcRp4ed1ag5LAU,Le Bastille By Sweett,ChIJvRvDBgBy5kcROcEm9mAeLUE,Bistrot de l’Oulette,1.3495
ChIJzfuq7d1x5kcRGiOAnXV5sZ8,Le Champo - Espace Jacques Tati,ChIJX2c7lCtv5kcRxhdJCBIRGGU,La Propriété Française,1.3518
ChIJTblQjZNv5kcRei411iR7Ai4,DS Café Niel,ChIJQ6gX3jFv5kcRoGqtiEhHaWE,Restaurant Pages,1.352
ChIJQ6gX3jFv5kcRoGqtiEhHaWE,Restaurant Pages,ChIJTblQjZNv5kcRei411iR7Ai4,DS Café Niel,1.352
ChIJPVuff9Bt5kcReMLWIUKzWsg,Cie Lynx,ChIJIVc4qd1t5kcRX4UnIfAvYfk,Aedesia,1.352
ChIJIVc4qd1t5kcRX4UnIfAvYfk,Aedesia,ChIJPVuff9Bt5kcReMLWIUKzWsg,Cie Lynx,1.352
ChIJ65l3VAVu5kcR49Z5gr7_gL8,Café Léonard,ChIJTdiHcqxv5kcRVgEUqDEcnbY,Sacré Frenchy !,1.3539
ChIJTdiHcqxv5kcRVgEUqDEcnbY,Sacré Frenchy !,ChIJ65l3VAVu5kcR49Z5gr7_gL8,Café Léonard,1.3539
ChIJE27X_69v5kcRW8z_ru3CoXA,Musées,ChIJo51l1sxv5kcR2I8JCurv4kQ,Charades,1.3548
ChIJRyWcHLht5kcR1MkYWmCCWKk,Librairie Beit Hassofer,ChIJqxcQWwNt5kcR6VjqbpoZHA8,O’Wine Bistrot,1.3555
ChIJv2EfEeht5kcRsu0y8IUCYxY,Le Dirty Queen,ChIJ-0A5pBNu5kcRnRg0gVkP3nY,Le Cham' Bar,1.356
ChIJM0JF5W1w5kcRPu0PCZYFRK0,Le Dôme de Paris - Palais des Sports,ChIJRQaWcBdw5kcRGyBbSZDLhk8,Le Café du Commerce,1.3575
ChIJaUhtUWpw5kcRoIzN7rh4_Zk,Hôtel Printania,ChIJB-jbJWtw5kcRutefYo9ZA_g,Hôtel Avenir Vaugirard,1.3583
ChIJaUjleOpt5kcRuIvzNraZrjc,pierre cheneeee,ChIJOWJ59Lxt5kcR_iaylNQgOOI,Chantal de La Coste,1.3585
ChIJhwDvTHht5kcR4oniH_oxuIo,Novotel Paris Est,ChIJP236PX5t5kcR7TnS1c0JE1k,Hôtel F1 Paris Porte de Montreuil,1.3586
ChIJ8wnEl-Nv5kcRSSkK7vzCYE8,Bibliothèque d'architecture contemporaine (Cité de l'architecture et du patrimoine),ChIJXQvlQftv5kcR0ssQdKPzrIY,Café Kléber,1.3591
ChIJXQvlQftv5kcR0ssQdKPzrIY,Café Kléber,ChIJ8wnEl-Nv5kcRSSkK7vzCYE8,Bibliothèque d'architecture contemporaine (Cité de l'architecture et du patrimoine),1.3591
ChIJxQmwj3Ry5kcR2IZZTii6p0c,Emet,ChIJnY-oMvxt5kcRozmOaAPvA9U,Rush Bar,1.3603
ChIJzcafrXxy5kcRvGyzHgxdBv0,Le Phare,ChIJO_18ahht5kcRLiacN8GS6Qw,Café Cosmos,1.3609
ChIJuaVqr95x5kcR9KWiYTTgHO4,La Robe & La Mousse,ChIJh441vBdu5kcRQULxyJnE1MU,Librairie Petite Égypte,1.3624
ChIJVVUBBJhx5kcRM5ek4sYp__4,Compagnie Confidences,ChIJu4ZEG2Bx5kcRbfrnXzQbKGE,Virginie,1.3628
ChIJu4ZEG2Bx5kcRbfrnXzQbKGE,Virginie,ChIJVVUBBJhx5kcRM5ek4sYp__4,Compagnie Confidences,1.3628
ChIJ__pT5eZx5kcRAO3pFkY_0_A,Nuage Café,ChIJnY-oMvxt5kcRozmOaAPvA9U,Rush Bar,1.3644
ChIJjZv_cXJu5kcRPmX0TkR-YII,Hôtel Montana,ChIJ5YiVkPVu5kcRPfyFAc8IjrQ,Hôtel de la Terrasse,1.3657
ChIJ5YiVkPVu5kcRPfyFAc8IjrQ,Hôtel de la Terrasse,ChIJjZv_cXJu5kcRPmX0TkR-YII,Hôtel Montana,1.3657
ChIJeY8DVzZu5kcRoihv25Y9JLY,Café Gallery,ChIJ321Jgz5u5kcRqN76SoQ6Lek,Café Oz The Australian Bar Grands Boulevards,1.3658
ChIJr_2saI1x5kcRkpzBSc-ELQ0,Rollingshots360,ChIJCxhRsVFx5kcR9wF98WFcCY8,L'effet Théâtre,1.3668
ChIJCxhRsVFx5kcR9wF98WFcCY8,L'effet Théâtre,ChIJr_2saI1x5kcRkpzBSc-ELQ0,Rollingshots360,1.3668
ChIJMyacW3Fw5kcR9vedBNXSP1A,Aparthotel Adagio Paris XV,ChIJF1xKxH5x5kcR1Okpy2Itr10,"Titanic, l’exposition",1.37
ChIJH0QaYE9y5kcRjEpWxSGkIZg,ibis budget Paris Porte de Bercy,ChIJK6Q9xjty5kcRHgehMRfhHnw,Gibert Paris 13 - Grande Bibliothèque,1.3711
ChIJ1cPjox5y5kcR82wAL_mSQd8,Café Oz The Australian Bar Rooftop,ChIJOYNm1DBu5kcRhUP_L_0cJxo,Opera National de Paris,1.3711
